spec_id,W12,W24,mdd,identity,mc,forced,fees,dual
CO-0432,385737.08866000007,820009.6751500001,-0.1637777609495855,0,1,1,698.63597,False
CO-0433,385737.08866000007,820009.6751500001,-0.1637777609495855,0,1,1,698.63597,False
CO-0434,385737.08866000007,820009.6751500001,-0.1637777609495855,0,1,1,698.63597,False
CO-0435,385737.08866000007,820009.6751500001,-0.1637777609495855,0,1,1,698.63597,False
CO-0436,385709.59001,819982.1765000001,-0.1866129193743683,0,1,1,799.1964299999996,False
CO-0437,385709.59001,819982.1765000001,-0.1866129193743683,0,1,1,799.1964299999996,False
CO-0438,385709.59001,819982.1765000001,-0.1866129193743683,0,1,1,799.1964299999996,False
CO-0439,385709.59001,819982.1765000001,-0.1866129193743683,0,1,1,799.1964299999996,False
CO-0440,385677.59001,819943.5745200001,-0.1866982625186062,0,1,1,927.1880299999996,False
CO-0441,385677.59001,819943.5745200001,-0.1866982625186062,0,1,1,927.1880299999996,False
CO-0442,385677.59001,819943.5745200001,-0.1866982625186062,0,1,1,927.1880299999996,False
CO-0443,385677.59001,819943.5745200001,-0.1866982625186062,0,1,1,927.1880299999996,False
CO-0448,391441.15224000014,827327.6591500002,-0.1723510173023495,0,1,1,854.4638299999995,False
CO-0449,391441.15224000014,827327.6591500002,-0.1723510173023495,0,1,1,854.4638299999995,False
CO-0450,391441.15224000014,827327.6591500002,-0.1723510173023495,0,1,1,854.4638299999995,False
CO-0451,391441.15224000014,827327.6591500002,-0.1723510173023495,0,1,1,854.4638299999995,False
CO-0452,391409.15224000014,827295.6591500002,-0.1724357489310897,0,1,1,982.3481199999992,False
CO-0453,391409.15224000014,827295.6591500002,-0.1724357489310897,0,1,1,982.3481199999992,False
CO-0454,391409.15224000014,827295.6591500002,-0.1724357489310897,0,1,1,982.3481199999992,False
CO-0455,391409.15224000014,827295.6591500002,-0.1724357489310897,0,1,1,982.3481199999992,False
