neighborhood_id,top_k,momentum_window,absolute_trend_window,fallback,holding_days,frozen
BN000,1,20,20,510050,5,True
BN001,1,20,20,510050,20,True
BN002,1,20,20,cash,5,True
BN003,1,20,20,cash,20,True
BN004,1,20,60,510050,5,True
BN005,1,20,60,510050,20,True
BN006,1,20,60,cash,5,True
BN007,1,20,60,cash,20,True
BN008,1,20,120,510050,5,True
BN009,1,20,120,510050,20,True
BN010,1,20,120,cash,5,True
BN011,1,20,120,cash,20,True
BN012,1,60,20,510050,5,True
BN013,1,60,20,510050,20,True
BN014,1,60,20,cash,5,True
BN015,1,60,20,cash,20,True
BN016,1,60,60,510050,5,True
BN017,1,60,60,510050,20,True
BN018,1,60,60,cash,5,True
BN019,1,60,60,cash,20,True
BN020,1,60,120,510050,5,True
BN021,1,60,120,510050,20,True
BN022,1,60,120,cash,5,True
BN023,1,60,120,cash,20,True
BN024,1,120,20,510050,5,True
BN025,1,120,20,510050,20,True
BN026,1,120,20,cash,5,True
BN027,1,120,20,cash,20,True
BN028,1,120,60,510050,5,True
BN029,1,120,60,510050,20,True
BN030,1,120,60,cash,5,True
BN031,1,120,60,cash,20,True
BN032,1,120,120,510050,5,True
BN033,1,120,120,510050,20,True
BN034,1,120,120,cash,5,True
BN035,1,120,120,cash,20,True
BN036,2,20,20,510050,5,True
BN037,2,20,20,510050,20,True
BN038,2,20,20,cash,5,True
BN039,2,20,20,cash,20,True
BN040,2,20,60,510050,5,True
BN041,2,20,60,510050,20,True
BN042,2,20,60,cash,5,True
BN043,2,20,60,cash,20,True
BN044,2,20,120,510050,5,True
BN045,2,20,120,510050,20,True
BN046,2,20,120,cash,5,True
BN047,2,20,120,cash,20,True
BN048,2,60,20,510050,5,True
BN049,2,60,20,510050,20,True
BN050,2,60,20,cash,5,True
BN051,2,60,20,cash,20,True
BN052,2,60,60,510050,5,True
BN053,2,60,60,510050,20,True
BN054,2,60,60,cash,5,True
BN055,2,60,60,cash,20,True
BN056,2,60,120,510050,5,True
BN057,2,60,120,510050,20,True
BN058,2,60,120,cash,5,True
BN059,2,60,120,cash,20,True
BN060,2,120,20,510050,5,True
BN061,2,120,20,510050,20,True
BN062,2,120,20,cash,5,True
BN063,2,120,20,cash,20,True
BN064,2,120,60,510050,5,True
BN065,2,120,60,510050,20,True
BN066,2,120,60,cash,5,True
BN067,2,120,60,cash,20,True
BN068,2,120,120,510050,5,True
BN069,2,120,120,510050,20,True
BN070,2,120,120,cash,5,True
BN071,2,120,120,cash,20,True
