experiment_id,family,status,data_tier,reason
baseline_phase1,index_proxy,eliminated,proxy_research,dual-target success only low single digits
phase2_s4_weekly,stock_auxiliary,eliminated,free_real,best observed success 0.0629
phase2_option_proxy,option_proxy,eliminated,proxy_research,best observed success 0.0914 and no executable chain
phase3_im_tsmom,futures,eliminated,official_exchange_daily,worst deposit-timing success 0.25 and margin-call windows 0.083
phase3_etf_u4_lb60_top2_monthly,etf_rotation,eliminated,development_official_raw_unadjusted_signals,worst timing success 0.02564; strict candidate 0 due numeric and accounting gates
phase3_cffex_crowding_partial29m,futures_crowding,blocked,official_exchange_daily_signal_date,implementation smoke only; 29/195 months; strict candidates 0
phase3_cffex_crowding_2026h1,futures_crowding,blocked,official_exchange_daily_plus_exact_expiry,96 direction maps resolved but horizon below W12/W24; strict candidates 0
phase3_small_capital_2026h1,derivative_feasibility,blocked,official_daily_plus_single_margin_snapshot,IF IC IM 100pct infeasible in six-month screen; no W12/W24; strict candidates 0
phase3_etf_u4_sample_gate,etf_rotation,time_evidence_pending,official_sse_raw_plus_official_sse_event_pdfs,4 nonoverlap W24 blocks through 2025 versus 5 required; earliest maturity 2027-04; strict candidates 0
phase3_etf_u3_b_history,etf_rotation,eliminated,official_sse_raw_plus_official_sse_event_pdfs,72 specs and 124 cohorts; 6 blocks evaluable; zero dual-target base passes; strict candidates 0
phase3_etf_u3_acd_history,etf_state_risk,eliminated,official_sse_raw_plus_official_sse_event_pdfs,102 specs and 124 cohorts each; 6 blocks evaluable; zero dual-target base passes; strict candidates 0
